,CC,AC,PCC,PAC,HDy
Skeletonema,0.44630872483221479,0.72483221476510062,0.28187919463087246,0.54697986577181212,0.79530201342281881
Cerataulina,0.42988505747126438,0.77701149425287352,0.26436781609195403,0.6344827586206897,0.86436781609195401
Lauderia,0.99605781865965837,0.99868593955321949,0.96714848883048621,0.96977660972404733,0.95269382391590018
ciliate_mix,0.66315789473684206,0.95789473684210524,0.4631578947368421,0.81052631578947365,0.93684210526315792
Guinardia_flaccida,0.90331491712707179,0.98342541436464093,0.79696132596685088,0.86049723756906082,0.91574585635359118
Leptocylindrus,0.29230769230769232,0.91538461538461535,0.16153846153846155,0.83846153846153848,0.93076923076923079
mix,,,,,
Chaetoceros,0.015873015873015872,0.58730158730158732,0.0,0.40476190476190477,0.80952380952380953
mix_elongated,0.015625,0.9375,0.0,0.9375,0.96875
Thalassionema,0.93263473053892221,0.99251497005988021,0.83083832335329344,0.94311377245508987,0.95059880239520955
Eucampia,0.9182825484764543,0.98060941828254844,0.76177285318559562,0.89750692520775621,0.95013850415512469
tintinnid,0.95627644569816639,0.99012693935119889,0.92947813822284908,0.95486600846262337,0.91678420310296194
pennate,0.60925449871465298,0.95629820051413883,0.31362467866323906,0.80462724935732644,0.94087403598971719
kiteflagellates,0.99195710455764075,0.99731903485254692,0.886058981233244,0.90884718498659522,0.95442359249329756
Stephanopyxis,0.99738219895287961,0.079842931937172776,0.79712041884816753,0.89790575916230364,0.92277486910994766
Thalassiosira_dirty,0.62934947049924361,0.9319213313161876,0.36913767019667171,0.76096822995461422,0.93948562783661116
Guinardia_striata,0.95710059171597628,0.99260355029585801,0.87573964497041423,0.92011834319526631,0.95562130177514792
clusterflagellate,0.89577836411609502,0.98812664907651715,0.72691292875989444,0.88786279683377312,0.97097625329815307
Laboea,0.99457994579945797,1.0,0.99186991869918695,0.99051490514905149,0.95392953929539293
DactFragCerataul,0.26382306477093209,0.82306477093206953,0.1358609794628752,0.74407582938388628,0.89731437598736175
Ephemera,0.97493403693931402,0.99076517150395782,0.9445910290237467,0.97229551451187335,0.94854881266490765
na,0.012461059190031152,0.74766355140186913,0.0062305295950155761,0.66043613707165105,0.7819314641744548
Coscinodiscus,0.95534506089309879,0.99052774018944523,0.90392422192151556,0.92151556156968872,0.9242219215155616
Gyrodinium,0.74788494077834178,0.95093062605752965,0.63113367174280877,0.81049069373942473,0.94754653130287647
Ceratium,0.99867197875166003,1.0,0.99867197875166003,0.99867197875166003,0.8751660026560425
Euglena,0.76675977653631289,0.94134078212290506,0.5544692737430168,0.77513966480446927,0.96508379888268159
Thalassiosira,0.055737704918032788,0.57377049180327866,0.0,0.40327868852459015,0.69180327868852454
Dictyocha,0.9592696629213483,0.9929775280898876,0.8735955056179775,0.9382022471910112,0.952247191011236
Myrionecta,0.94227769110764426,0.99375975039001563,0.8455538221528861,0.95163806552262087,0.96567862714508579
Paralia,0.93279569892473113,0.99596774193548387,0.80645161290322576,0.90053763440860213,0.92876344086021501
Corethron,0.90066225165562919,0.98344370860927155,0.71026490066225167,0.82781456953642385,0.95529801324503316
Pyramimonas,0.9294605809128631,0.98755186721991706,0.76625172890733062,0.84232365145228216,0.9432918395573997
Rhizosolenia,0.34556574923547401,0.74617737003058104,0.20795107033639143,0.48318042813455658,0.7737003058103975
dino30,0.03125,0.78125,0.0,0.65625,0.71875
Cylindrotheca,0.89261744966442957,0.99328859060402686,0.61073825503355705,0.82550335570469802,0.91275167785234901
Dactyliosolen,0.54736842105263162,0.84842105263157896,0.34105263157894739,0.54526315789473689,0.88421052631578945
Ditylum,0.90476190476190477,0.9910714285714286,0.81547619047619047,0.8883928571428571,0.95833333333333337
Licmophora,0.96816976127320953,0.99336870026525204,0.94827586206896552,0.97214854111405835,0.95888594164456231
Dinobryon,0.97845601436265706,0.99461400359066432,0.94075403949730696,0.97307001795332138,0.96588868940754036
detritus,,,,,
bad,0.80844645550527905,0.9170437405731523,0.55354449472096534,0.82352941176470584,0.94268476621417796
Guinardia,0.45321637426900585,0.83625730994152048,0.31871345029239767,0.64327485380116955,0.8771929824561403
Pleurosigma,0.97752808988764039,0.9971910112359551,0.9030898876404494,0.9339887640449438,0.9592696629213483
Phaeocystis,0.9985955056179775,1.0,1.0,1.0,0.9592696629213483
Pseudonitzschia,0.52747252747252749,0.84395604395604396,0.34285714285714286,0.67692307692307696,0.86373626373626378
Prorocentrum,0.83746130030959753,0.95820433436532504,0.65634674922600622,0.804953560371517,0.9504643962848297
Odontella,0.99738219895287961,0.062827225130890049,0.86387434554973819,0.94371727748691103,0.9240837696335078
Asterionellopsis,0.65112781954887222,0.90827067669172934,0.41654135338345866,0.63308270676691725,0.93082706766917289
Dinophysis,0.86411609498680741,0.96174142480211078,0.64379947229551449,0.81134564643799467,0.95118733509234832
