Class,CC,AC,PCC,PAC,HDy
Asterionellopsis,2.00803409221,1.93403252506,4.13080300951,2.44026725335,2.21673696294
Cerataulina,2.52650982161,1.97790231905,4.49108715026,2.90307661855,1.62724303555
Ceratium,0.927645673646,0.926833254431,0.962954693119,0.939421046563,57.5803572386
Chaetoceros,2.58141090957,1.5024288018,3.66017290881,2.13974281437,1.08344070025
Corethron,1.03040756162,0.991324231131,2.79696761323,1.2793153353,3.42944055969
Coscinodiscus,1.44193723136,1.47537420207,3.43418105706,1.61345352497,145.815676033
Cylindrotheca,0.439905678524,0.439813266707,0.699084581049,0.473097266944,1.74973489569
DactFragCerataul,11.4780823116,7.59998092007,15.542577945,9.68318859571,5.48136406659
Dactyliosolen,1.98017325319,1.93844243239,2.29009762599,2.20603846756,2.24374056885
Dictyocha,1.27362705616,1.28079588554,1.64878664537,1.44067299467,4.64087335757
Dinobryon,0.844132946976,0.841006469824,1.04996543339,0.912921245879,2.71701193805
Dinophysis,2.07665534095,2.08204705132,6.25413109941,4.00613159093,9.48419821807
Ditylum,0.985823151014,0.975467248387,2.71431064098,1.17430753941,28.7680829119
Ephemera,1.43254938229,1.43454827734,3.45477180279,1.64850086811,16.5010818909
Eucampia,1.48543048618,1.50102834315,3.76728427915,1.89433685701,5.0782280255
Euglena,2.04066204012,1.85947397075,4.45652234777,2.46933560157,2.2656125512
Guinardia,2.40515206995,2.17965644317,3.29093238864,2.500117562,2.62926051812
Guinardia_flaccida,1.42013149705,1.40051883281,3.07043520849,1.44963400926,33.7652920954
Guinardia_striata,1.16305312297,1.16049282966,2.82624338907,1.30821783534,7.05803868885
Gyrodinium,1.77449919602,1.65722326308,3.32312759417,2.12268024089,3.92919542715
Laboea,1.05413150181,1.05739346571,1.31946917345,1.09358778483,23.7619106149
Lauderia,1.13848953384,1.21717833374,3.74307458184,1.56651205665,22.827906636
Leptocylindrus,2.31440371848,1.44512554533,2.92246865322,1.76661372943,1.26227842296
Licmophora,1.17904415508,1.18743370728,3.29570876345,1.42133561175,57.2295800251
Myrionecta,1.04596588026,1.03326072695,2.16881037705,1.08574240858,2.3208754617
Odontella,1.0205125656,1.02696104055,1.10266671756,1.05388270356,8.66883610965
Paralia,1.18421303089,1.17889961912,3.518499208,1.58388872135,13.3665285867
Phaeocystis,1.03842432179,1.04411397222,1.07499382281,1.05101971686,8.99825153417
Pleurosigma,1.04414783591,1.04633198204,1.25825874463,1.08609266371,6.24706604032
Prorocentrum,1.49668922515,1.50462543473,2.93929113842,1.76435723413,5.83946050282
Pseudonitzschia,2.58756983512,2.4919158107,4.46022708378,3.49894841874,3.12566450644
Pyramimonas,1.32944142022,1.32875971782,3.70140351281,1.78961740429,7.99238828818
Rhizosolenia,3.32642100622,3.18131742617,4.32161885276,3.70194649231,3.68252624552
Skeletonema,5.37099254273,5.32743512918,6.64109797158,6.09512728835,4.41908611406
Stephanopyxis,1.13908420527,1.27438419275,2.03430784369,1.46113236493,8.34527763043
Thalassionema,0.996413784907,0.983140061261,2.29362661089,1.0221513743,5.04786257411
Thalassiosira,4.49086111642,3.28669871952,6.12017968232,4.20686969838,2.76232009424
Thalassiosira_dirty,2.01076998024,1.59096143999,3.82148472125,1.79295151208,2.29453105982
bad,12.6247639777,12.7547558216,25.1809974646,23.7280521078,6.44716828685
ciliate_mix,0.558480533569,0.538501791891,0.885941450395,0.57816521102,1.78200826844
clusterflagellate,1.4728016055,1.4068819137,5.76157745347,3.28938538031,2.64661004772
detritus,0.662150548782,0.585847691115,0.741300063961,0.606504940123,0.49131823479
dino30,3.48846777757,2.13262763419,3.9692119539,2.41970781472,1.23735816703
kiteflagellates,1.06879864316,1.07530930046,1.11896562888,1.09528834981,3.98273675726
mix,0.088386867224,0.0706019917893,0.119048843875,0.0820254704961,0.113564338591
mix_elongated,3.07941988894,1.61556770531,3.42116721589,1.80846975837,1.33607134216
na,3.72760521899,2.97503357727,6.1187101774,4.61343059537,2.48069179507
pennate,1.40139909708,1.28534603023,2.35988509874,1.60316516192,1.97391486994
tintinnid,1.07637416725,1.08345437998,1.32376491174,1.15443212193,5.31747346025
