,AutoClass
0,0.0220264317180617
1,0.042620363062352
2,0.0418736692689851
3,0.0503439649781113
4,0.00955180014695077
5,0.0102724430549352
6,0.0138107416879795
7,0.0153818953323904
8,0.0146568954030646
9,0.0543237250554324
10,0.053864168618267
11,0.0464183381088825
12,0.0425894378194208
13,0.0651204281891169
14,0.0632302405498282
15,0.0482142857142857
16,0.0462962962962963
17,0.0864661654135338
18,0.0191285866099894
19,0.0196660482374768
20,0.0220713073005093
21,0.0138888888888889
22,0.0191570881226054
23,0.0211038961038961
24,0.0120882441825325
25,0.0140468227424749
26,0.0333639424548515
27,0.0317368724754761
28,0.0360839160839161
29,0.0559610705596107
30,0.0583103764921947
31,0.0654940985882898
32,0.0633474105356746
33,0.0601978530835614
34,0.0341419586702606
35,0.0412156536219817
36,0.0401017214397496
37,0.0522913101350067
38,0.0488206253428415
39,0.0463932954205328
40,0.0546955624355005
41,0.0533679792124725
42,0.0720261171189553
43,0.0709803072927938
44,0.0735632183908046
45,0.0760115606936416
46,0.0734660925726588
47,0.0645579465906145
48,0.0839520274129069
49,0.0649062191510365
50,0.0808168585704975
51,0.0753068441855627
52,0.201384518565135
53,0.208695652173913
54,0.160573476702509
55,0.144803229061554
56,0.0562625586068319
57,0.0580110497237569
58,0.0546603475513428
59,0.0539285714285714
60,0.0473664266767715
61,0.0302724520686176
62,0.0313253012048193
63,0.0283412887828162
64,0.0290806754221388
65,0.0256181114089961
66,0.0586319218241042
67,0.064330737856878
68,0.0606517234884159
69,0.045437042741625
70,0.0505511212466743
71,0.0481565086531226
72,0.0209801946962068
73,0.0228768926925609
74,0.0252087084629236
75,0.0230607966457023
76,0.0264014466546112
77,0.0262978142076503
78,0.0316455696202532
79,0.0288224956063269
80,0.0241075567918405
81,0.0240963855421687
82,0.0248474280732345
83,0.0164126611957796
84,0.0132530120481928
85,0.0115361262902247
86,0.0101677681748856
87,0.0121418164157358
88,0.0217785843920145
89,0.0162074554294976
90,0.0206521739130435
91,0.0176085176085176
92,0.0185490519373454
93,0.0211745904914103
94,0.0259818731117825
95,0.0183206106870229
96,0.0252416756176155
97,0.0188235294117647
98,0.0271993200169996
99,0
100,0.0233441910966341
101,0.0268948655256724
102,0.0236247046911914
103,0.0313873195229127
104,0.0240073868882733
105,0.0463430012610341
106,0.0467581047381546
107,0.0412403100775194
108,0.0579710144927536
109,0.0604068857589984
110,0.0494102645839974
111,0.290496114763897
112,0.250817884405671
113,0.224103585657371
114,0.029126213592233
115,0.0176190476190476
116,0.0216783216783217
117,0.0337771203155819
118,0.0197044334975369
119,0.11417450535193
120,0.115911923556294
121,0.0137438152831226
122,0.0141214696325919
123,0.0149892933618844
124,0.021742048047242
125,0.0182833925850686
126,0.0219739749570341
127,0.00699790062981106
128,0.00598469032707028
129,0.00711413547788432
130,0.00670177118238392
131,0.00704630428530342
132,0.00403225806451613
133,0.00944435699669447
134,0.00676132521974307
135,0.00712553062462098
136,0.0732568402471315
137,0.0607573866000832
138,0.0578723404255319
139,0.0546448087431694
140,0.079333986287953
141,0.0360313315926893
142,0.0432748538011696
143,0.0769230769230769
144,0.0536218250235183
145,0.0648994515539305
146,0.0772946859903382
147,0.0753295668549906
148,0.0664100096246391
149,0.0391095066185319
150,0.0440677966101695
151,0.048469387755102
152,0.13960113960114
153,0.142440163455925
154,0.0800814387512725
155,0.0842399751321107
156,0.0637898686679174
157,0.0533764658309745
158,0.0631911532385466
159,0.00969367972082202
160,0.0126606560521772
161,0.0102645084879589
162,0.0269172168613509
163,0.0269951071368314
164,0.0309405940594059
165,0.0339543269230769
166,0.0275085145402148
167,0.044885627967199
168,0.0536529680365297
169,0.0449195291856834
170,0.0855908912446015
171,0.0794090489381348
172,0.0758411963681681
173,0.0814108251996451
174,0.0732185661364132
175,0.0729826494078766
176,0.0734921439432337
177,0.0504660880745741
178,0.0448575814429473
179,0.0387610020311442
180,0.0161913250148544
181,0.0151791135397693
182,0.0160349854227405
183,0.0112023898431665
184,0.0154631862675557
185,0.0217679070451537
186,0.0262529832935561
187,0.0232692585633762
188,0.0219072164948454
189,0.0207079893661676
190,0.0157170923379175
191,0.0181869054280918
192,0.0178895877009085
193,0.016061242870009
194,0.0212042408481696
195,0.017724829289554
196,0.0187386379527339
197,0.0391160220994475
198,0.0457160157432637
199,0.0347114746849436
200,0.03125
201,0.0287212217916572
202,0.0299051787016776
203,0.0140425531914894
204,0.0111037673496365
205,0.0155581947743468
206,0.0114942528735632
207,0.0135135135135135
208,0.012958435207824
209,0.0110327570518653
210,0.0127582702946822
211,0.0142600494048956
212,0.0217547903760265
213,0.0224921277552857
214,0.041089870358163
215,0.0389788010029633
216,0.0485475527258257
217,0.0404263877715205
218,0.0155189136760427
219,0.0181640625
220,0.0168826069886141
221,0.022888193643998
222,0.0249000922225638
223,0.0266990291262136
224,0.013791724965021
225,0.0164609053497942
226,0.0213854871138731
227,0.0103318100536459
228,0.0108436347863804
229,0.0169604256734287
230,0.0307935254638768
231,0.0259220231822972
